iter	Passed	Remaining
0	4	1047
1	8	1035
2	11	897
3	13	820
4	16	774
5	21	841
6	24	822
7	27	809
8	32	823
9	36	835
10	39	820
11	42	802
12	45	789
13	48	783
14	56	848
15	59	839
16	62	824
17	65	811
18	69	803
19	71	788
20	74	775
21	77	764
22	80	755
23	83	750
24	86	745
25	89	736
26	92	727
27	95	721
28	98	715
29	101	713
30	105	711
31	110	715
32	114	716
33	117	710
34	120	707
35	124	702
36	127	701
37	131	698
38	134	691
39	136	684
40	140	684
41	143	678
42	146	671
43	149	664
44	151	657
45	154	652
46	158	649
47	161	644
48	163	638
49	166	632
50	169	628
51	172	624
52	175	619
53	178	616
54	181	611
55	184	607
56	187	602
57	190	597
58	193	592
59	196	588
60	199	584
61	201	579
62	204	575
63	207	570
64	210	566
65	213	562
66	216	559
67	219	555
68	222	551
69	225	547
70	228	543
71	231	540
72	234	535
73	237	531
74	239	527
75	242	523
76	246	521
77	249	517
78	251	512
79	254	509
80	257	504
81	261	504
82	265	501
83	268	499
84	272	497
85	277	496
86	281	495
87	284	491
88	287	487
89	290	484
90	293	481
91	298	479
92	301	476
93	304	472
94	306	468
95	309	464
96	313	461
97	315	457
98	318	453
99	322	451
100	326	449
101	330	446
102	334	444
103	337	441
104	340	438
105	343	434
106	346	430
107	350	428
108	353	425
109	356	421
110	359	417
111	362	413
112	364	410
113	368	406
114	371	403
115	374	400
116	377	396
117	379	392
118	382	389
119	385	385
120	388	381
121	391	378
122	394	374
123	397	371
124	399	367
125	402	364
126	405	360
127	407	356
128	410	353
129	413	350
130	416	346
131	419	342
132	422	339
133	425	336
134	429	334
135	432	330
136	435	327
137	437	323
138	440	319
139	443	316
140	445	312
141	448	309
142	450	305
143	454	302
144	457	299
145	461	297
146	465	294
147	467	290
148	470	287
149	474	284
150	477	281
151	480	278
152	483	274
153	485	271
154	489	268
155	491	264
156	494	261
157	497	258
158	500	254
159	503	251
160	506	248
161	509	245
162	513	242
163	516	239
164	519	236
165	522	232
166	525	229
167	528	226
168	530	222
169	533	219
170	536	216
171	539	213
172	542	209
173	544	206
174	548	203
175	552	200
176	555	197
177	558	194
178	560	191
179	565	188
180	567	185
181	570	181
182	575	179
183	577	175
184	581	172
185	585	169
186	588	166
187	591	163
188	593	160
189	596	156
190	599	153
191	602	150
192	604	147
193	607	144
194	610	140
195	613	137
196	616	134
197	618	131
198	621	128
199	625	125
200	628	122
201	631	118
202	634	115
203	637	112
204	640	109
205	643	106
206	646	102
207	648	99
208	651	96
209	655	93
210	658	90
211	663	87
212	666	84
213	670	81
214	673	78
215	676	75
216	680	72
217	683	68
218	686	65
219	689	62
220	692	59
221	694	56
222	697	53
223	701	50
224	704	46
225	706	43
226	709	40
227	711	37
228	714	34
229	717	31
230	719	28
231	722	24
232	725	21
233	727	18
234	730	15
235	733	12
236	735	9
237	738	6
238	741	3
239	743	0
